"GEOID","estimate","moe","pct"
"11001000100",945,522,18.14
"11001000201",1271,569,34.49
"11001000202",975,635,20.24
"11001000300",1277,942,20.95
"11001000400",535,341,33.9
"11001000501",1001,583,28.58
"11001000502",627,311,21.09
"11001000600",1185,616,25.1
"11001000701",1328,884,25.32
"11001000702",697,481,21.02
"11001000801",1656,821,25.19
"11001000802",1127,656,35.74
"11001000901",2122,798,27.24
"11001000902",582,386,23.71
"11001001001",2030,809,25.72
"11001001002",899,571,25.71
"11001001100",1291,739,26.8
"11001001200",1136,629,23.15
"11001001301",1040,675,25.9
"11001001302",2219,1141,29.23
"11001001401",803,470,23.83
"11001001402",1191,686,35.79
"11001001500",1284,897,20.22
"11001001600",3180,567,76.17
"11001001702",1967,526,63.8
"11001001803",3784,852,93.62
"11001001804",5424,1410,96.53
"11001001901",3660,845,91.57
"11001001902",2108,565,90.2
"11001002001",2151,625,75.53
"11001002002",3269,1096,83.58
"11001002101",5538,1267,94.52
"11001002102",4501,850,91.47
"11001002201",3341,689,90.2
"11001002202",3803,1070,95.7
"11001002301",2485,701,77.17
"11001002302",1046,461,61.13
"11001002400",3483,731,81.82
"11001002501",2037,612,76.93
"11001002502",4813,1227,82.25
"11001002600",1408,518,54.72
"11001002701",2708,1133,49.89
"11001002702",2934,1170,46.57
"11001002801",3323,938,82.4
"11001002802",3583,883,75.43
"11001002900",2713,816,59.4
"11001003000",2114,594,59.82
"11001003100",2484,706,74.15
"11001003200",4127,984,82.59
"11001003301",1926,658,53.22
"11001003302",1424,416,60.91
"11001003400",3476,912,73.71
"11001003500",4782,1153,85.35
"11001003600",2696,1025,53.53
"11001003700",3867,1254,65.99
"11001003800",2133,1058,42.93
"11001003900",1223,514,27.23
"11001004001",856,505,20.78
"11001004002",610,335,20.35
"11001004100",687,422,24.9
"11001004201",798,570,22.01
"11001004202",616,330,23.38
"11001004300",1774,534,47.69
"11001004400",1838,976,32.23
"11001004600",2021,715,68.58
"11001004701",3816,1075,85.22
"11001004702",1287,426,50.31
"11001004801",1441,593,64.82
"11001004802",2656,840,74.86
"11001004901",1729,603,66.5
"11001004902",1602,785,56.37
"11001005001",819,573,38.71
"11001005002",3243,1120,53.59
"11001005201",1760,942,28.28
"11001005301",1188,532,23.76
"11001005500",2123,987,32.01
"11001005600",2243,1052,32.21
"11001005800",1046,569,37.61
"11001005900",1268,481,44
"11001006202",51,150,43.59
"11001006400",1952,469,91.64
"11001006500",659,403,25.51
"11001006600",287,275,15.07
"11001006700",942,333,22.36
"11001006801",1286,311,63.76
"11001006802",1147,384,48.98
"11001006804",2854,401,96.78
"11001006900",676,275,30.99
"11001007000",946,508,33.86
"11001007100",1902,592,62.08
"11001007200",1585,566,34.58
"11001007301",1560,759,38.98
"11001007304",3392,645,96.53
"11001007401",2448,298,99.8
"11001007403",3457,558,98.77
"11001007404",3768,578,99.29
"11001007406",3061,612,100
"11001007407",2711,423,99.16
"11001007408",3518,736,99.15
"11001007409",3777,520,99.34
"11001007502",5305,629,98.96
"11001007503",2655,386,98.55
"11001007504",2766,403,99.5
"11001007601",4088,746,97.75
"11001007603",3707,884,93.85
"11001007604",3625,532,96.26
"11001007605",3536,723,97.98
"11001007703",5267,948,100
"11001007707",4423,727,100
"11001007708",3070,391,100
"11001007709",2146,443,99.12
"11001007803",3435,877,98.91
"11001007804",3199,823,99.53
"11001007806",2023,366,97.26
"11001007807",2313,407,99.96
"11001007808",4268,742,99.51
"11001007809",2738,564,97.61
"11001007901",3208,659,81.19
"11001007903",1515,380,83.01
"11001008001",1572,678,49.37
"11001008002",1450,438,40.89
"11001008100",801,344,24.94
"11001008200",534,337,18.23
"11001008301",633,374,26.56
"11001008302",693,281,28.77
"11001008402",1095,518,51.34
"11001008410",729,242,53.8
"11001008701",1605,455,69.45
"11001008702",1701,460,88.13
"11001008802",3817,791,83.01
"11001008803",1649,567,76.77
"11001008804",2243,835,91.85
"11001008903",3256,834,93.97
"11001008904",2904,816,95.34
"11001009000",2960,445,97.08
"11001009102",4915,800,92.95
"11001009201",1485,447,65.68
"11001009203",2202,651,84.3
"11001009204",2525,640,90.66
"11001009301",2081,641,64.95
"11001009302",841,354,79.87
"11001009400",4183,928,86.25
"11001009501",5459,1046,77.02
"11001009503",2593,530,77.47
"11001009504",2617,688,78.94
"11001009505",2549,683,94.37
"11001009507",1615,413,99.02
"11001009508",3467,828,90.55
"11001009509",3387,839,97.19
"11001009601",2207,378,99.82
"11001009602",3451,678,99.83
"11001009603",3004,815,99.67
"11001009604",2094,314,99.34
"11001009700",3362,537,99.73
"11001009801",2137,477,98.98
"11001009802",1643,291,99.82
"11001009803",2727,447,99.78
"11001009804",2744,571,98.78
"11001009807",2985,477,98.09
"11001009810",2676,464,100
"11001009811",5018,606,100
"11001009901",2479,382,96.72
"11001009902",2754,412,99.06
"11001009903",1792,379,98.03
"11001009904",2402,499,97.56
"11001009905",2791,653,99.86
"11001009906",1499,315,98.55
"11001009907",2890,465,100
"11001010100",1109,504,42.26
"11001010200",1478,504,58.26
"11001010300",2765,718,79.87
"11001010400",4159,787,92.96
"11001010500",1962,662,57.4
"11001010600",2409,805,41.66
"11001010700",528,376,29
"11001010800",2265,752,36.02
"11001010900",4213,1029,98.55
"11001011000",1375,563,38.71
"11001011100",5097,786,92.84
