Id,Id2,Geography,,,Total_Pop,Total_Pop_MOE,Elderly,Elderly_MOE,Pct_Elderly
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",,,5209,403,737,146,14.15
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",,,3685,384,3,4,0.08
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",,,4817,560,551,96,11.44
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",,,6095,625,564,122,9.25
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",,,1578,147,331,68,20.98
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",,,3502,338,473,177,13.51
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",,,2973,205,426,61,14.33
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",,,4722,335,891,154,18.87
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",,,5245,490,1388,167,26.46
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",,,3316,391,335,75,10.10
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",,,6575,558,1191,173,18.11
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",,,3153,305,423,84,13.42
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",,,7790,802,1125,142,14.44
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",,,2455,192,366,39,14.91
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",,,7894,467,1299,126,16.46
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",,,3497,456,214,76,6.12
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",,,4817,315,976,152,20.26
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",,,4908,467,702,153,14.30
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",,,4016,359,702,108,17.48
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",,,7591,617,1345,250,17.72
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",,,3369,237,445,56,13.21
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",,,3328,285,705,140,21.18
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",,,6350,469,1248,146,19.65
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",,,4175,277,939,74,22.49
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",,,3083,267,451,44,14.63
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",,,4042,348,569,104,14.08
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",,,5619,736,548,145,9.75
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",,,3997,402,624,103,15.61
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",,,2337,244,401,61,17.16
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",,,2848,332,498,88,17.49
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",,,3911,537,530,118,13.55
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",,,5859,671,655,110,11.18
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",,,4921,470,613,134,12.46
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",,,3704,328,535,81,14.44
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",,,3974,546,341,67,8.58
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",,,3220,382,391,56,12.14
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",,,1711,235,589,165,34.42
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",,,4257,389,415,78,9.75
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",,,2648,373,374,97,14.12
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",,,5852,709,381,81,6.51
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",,,2573,171,489,62,19.01
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",,,5428,574,531,117,9.78
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",,,6300,620,364,110,5.78
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",,,4033,394,354,158,8.78
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",,,4750,513,406,121,8.55
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",,,4567,390,206,55,4.51
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",,,3534,338,228,69,6.45
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",,,3350,406,252,62,7.52
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",,,4997,547,550,133,11.01
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",,,3619,389,255,48,7.05
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",,,2338,224,153,40,6.54
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",,,4716,492,205,97,4.35
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",,,5603,585,304,95,5.43
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",,,5036,642,208,92,4.13
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",,,5860,555,313,159,5.34
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",,,4969,549,336,147,6.76
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",,,4492,358,325,120,7.24
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",,,4120,441,443,137,10.75
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",,,2998,267,210,102,7.00
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",,,2759,225,523,87,18.96
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",,,3625,283,140,70,3.86
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",,,2635,246,170,76,6.45
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",,,3720,297,467,138,12.55
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",,,5702,376,412,155,7.23
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",,,2947,308,277,103,9.40
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",,,4478,641,443,141,9.89
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",,,2558,226,271,116,10.59
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",,,2223,284,308,66,13.86
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",,,3548,382,277,82,7.81
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",,,2600,301,169,56,6.50
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",,,2842,300,73,38,2.57
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",,,2116,249,97,46,4.58
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",,,6051,487,421,131,6.96
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",,,6224,503,260,148,4.18
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",,,4999,308,338,75,6.76
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",,,6632,721,689,197,10.39
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",,,6964,1006,1212,228,17.40
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",,,2781,315,331,88,11.90
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",,,2882,299,120,30,4.16
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",,,117,94,0,12,0.00
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",,,2130,280,265,79,12.44
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",,,2583,277,214,62,8.28
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",,,1904,208,302,84,15.86
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",,,4213,234,562,80,13.34
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",,,2017,195,216,49,10.71
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",,,2342,224,232,46,9.91
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",,,2949,251,46,71,1.56
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",,,2181,192,195,78,8.94
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",,,2794,430,296,61,10.59
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",,,3064,403,313,117,10.22
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",,,4584,514,303,84,6.61
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",,,4002,392,24,38,0.60
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",,,3514,467,397,99,11.30
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",,,2453,200,148,39,6.03
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",,,3500,371,131,47,3.74
