"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001007901","Census Tract 79.01, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 79.01, District of Columbia, District of Columbia","B01003_001",3951,456,0
"11001007903","Census Tract 79.03, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 79.03, District of Columbia, District of Columbia","B01003_001",1825,239,0
"11001008001","Census Tract 80.01, District of Columbia, District of Columbia","B26001_001",59,33,"Census Tract 80.01, District of Columbia, District of Columbia","B01003_001",3184,373,1.85
"11001008002","Census Tract 80.02, District of Columbia, District of Columbia","B26001_001",65,29,"Census Tract 80.02, District of Columbia, District of Columbia","B01003_001",3546,239,1.83
"11001008100","Census Tract 81, District of Columbia, District of Columbia","B26001_001",10,23,"Census Tract 81, District of Columbia, District of Columbia","B01003_001",3212,241,0.31
"11001008200","Census Tract 82, District of Columbia, District of Columbia","B26001_001",258,113,"Census Tract 82, District of Columbia, District of Columbia","B01003_001",2929,274,8.81
"11001008301","Census Tract 83.01, District of Columbia, District of Columbia","B26001_001",81,32,"Census Tract 83.01, District of Columbia, District of Columbia","B01003_001",2383,237,3.4
"11001008302","Census Tract 83.02, District of Columbia, District of Columbia","B26001_001",148,109,"Census Tract 83.02, District of Columbia, District of Columbia","B01003_001",2409,172,6.14
"11001008402","Census Tract 84.02, District of Columbia, District of Columbia","B26001_001",21,48,"Census Tract 84.02, District of Columbia, District of Columbia","B01003_001",2133,310,0.98
"11001008410","Census Tract 84.10, District of Columbia, District of Columbia","B26001_001",1,2,"Census Tract 84.10, District of Columbia, District of Columbia","B01003_001",1355,180,0.07
"11001008701","Census Tract 87.01, District of Columbia, District of Columbia","B26001_001",109,132,"Census Tract 87.01, District of Columbia, District of Columbia","B01003_001",2311,352,4.72
"11001008702","Census Tract 87.02, District of Columbia, District of Columbia","B26001_001",39,43,"Census Tract 87.02, District of Columbia, District of Columbia","B01003_001",1930,250,2.02
"11001008802","Census Tract 88.02, District of Columbia, District of Columbia","B26001_001",10,5,"Census Tract 88.02, District of Columbia, District of Columbia","B01003_001",4598,478,0.22
"11001008803","Census Tract 88.03, District of Columbia, District of Columbia","B26001_001",1144,410,"Census Tract 88.03, District of Columbia, District of Columbia","B01003_001",2148,446,53.26
"11001008804","Census Tract 88.04, District of Columbia, District of Columbia","B26001_001",26,21,"Census Tract 88.04, District of Columbia, District of Columbia","B01003_001",2442,313,1.06
"11001008903","Census Tract 89.03, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 89.03, District of Columbia, District of Columbia","B01003_001",3465,507,0
"11001008904","Census Tract 89.04, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 89.04, District of Columbia, District of Columbia","B01003_001",3046,372,0
