"GEOID","estimate","moe","pct"
"11001000100",646,241,26.53
"11001000201",0,24,0
"11001000202",371,145,21.48
"11001000300",453,192,17.42
"11001000400",76,50,11.69
"11001000501",747,202,37.96
"11001000502",418,126,26.41
"11001000600",418,194,19.38
"11001000701",708,263,21.18
"11001000702",658,200,31.16
"11001000801",350,181,12.2
"11001000802",132,87,9.53
"11001000901",121,63,7.61
"11001000902",20,20,2.32
"11001001001",342,161,12.08
"11001001002",447,231,23.66
"11001001100",297,169,14.45
"11001001200",784,195,31.56
"11001001301",506,180,25.74
"11001001302",1752,397,37.04
"11001001401",324,124,21.51
"11001001402",366,140,24.95
"11001001500",39,52,1.91
"11001001600",49,59,3.17
"11001001702",94,76,7
"11001001803",441,143,28.32
"11001001804",536,207,25.63
"11001001901",231,135,15.94
"11001001902",92,61,10.94
"11001002001",326,92,32.31
"11001002002",213,122,15.48
"11001002101",779,271,36.94
"11001002102",546,193,25.53
"11001002201",239,118,20.46
"11001002202",457,170,34.81
"11001002301",195,100,17.82
"11001002302",302,98,37.01
"11001002400",308,127,22.78
"11001002501",351,132,33.75
"11001002502",993,244,42.71
"11001002600",106,56,10.51
"11001002701",1479,324,55.43
"11001002702",892,248,38.46
"11001002801",996,189,57.81
"11001002802",1295,235,63.45
"11001002900",610,126,38.56
"11001003000",793,135,54.84
"11001003100",330,144,28.45
"11001003200",610,208,36.64
"11001003301",365,135,24.24
"11001003302",200,70,21.6
"11001003400",492,136,41.77
"11001003500",517,136,44.45
"11001003600",833,239,40.89
"11001003700",1348,319,53.37
"11001003800",1161,304,43.84
"11001003900",1268,295,48.23
"11001004001",818,244,37.37
"11001004002",885,188,48.76
"11001004100",561,170,36.88
"11001004201",996,258,47.05
"11001004202",884,187,52.43
"11001004300",1052,239,52.08
"11001004400",958,319,35.6
"11001004600",337,141,27.69
"11001004701",1276,266,54.88
"11001004702",655,124,46.42
"11001004801",432,135,40.68
"11001004802",861,199,49.94
"11001004901",420,105,37.94
"11001004902",624,181,43.82
"11001005001",288,134,30.57
"11001005002",2190,376,60.99
"11001005201",2030,485,49.46
"11001005301",2067,326,60.46
"11001005500",2006,517,48.04
"11001005600",2309,361,64.68
"11001005800",946,189,53.48
"11001005900",796,152,55.94
"11001006202",0,24,0
"11001006400",626,103,60.08
"11001006500",347,120,30.33
"11001006600",227,116,25.11
"11001006700",257,101,13.81
"11001006801",183,71,20.63
"11001006802",168,85,17.09
"11001006804",0,24,0
"11001006900",233,108,19.45
"11001007000",288,123,25.33
"11001007100",576,147,43.6
"11001007200",714,151,31.71
"11001007301",39,50,3.76
"11001007304",654,124,52.78
"11001007401",679,98,71.32
"11001007403",587,146,53.17
"11001007404",555,183,45.68
"11001007406",421,125,45.91
"11001007407",552,148,46.66
"11001007408",654,140,59.89
"11001007409",771,184,50.56
"11001007502",886,149,49.22
"11001007503",408,87,44.3
"11001007504",576,127,54.75
"11001007601",748,212,38.86
"11001007603",510,219,23.62
"11001007604",569,146,33.04
"11001007605",769,193,48.4
"11001007703",1228,279,56.25
"11001007707",531,198,35.4
"11001007708",758,145,65.46
"11001007709",373,105,37.15
"11001007803",579,212,38.63
"11001007804",491,180,43.8
"11001007806",453,125,49.19
"11001007807",322,97,36.43
"11001007808",595,199,43.02
"11001007809",422,154,35.91
"11001007901",667,143,43.31
"11001007903",260,88,32.62
"11001008001",177,85,12.99
"11001008002",291,145,18.2
"11001008100",281,126,20.41
"11001008200",427,155,30.46
"11001008301",162,93,16.38
"11001008302",199,88,20.08
"11001008402",396,127,36
"11001008410",126,72,22.87
"11001008701",232,91,25.16
"11001008702",276,84,36.95
"11001008802",657,178,36.91
"11001008803",282,78,54.97
"11001008804",440,192,41.01
"11001008903",742,182,51.1
"11001008904",847,171,55.22
"11001009000",537,142,31.02
"11001009102",764,167,38.66
"11001009201",259,82,33.72
"11001009203",352,157,34.51
"11001009204",765,152,58.17
"11001009301",158,104,13.31
"11001009302",108,59,22.83
"11001009400",327,143,19.66
"11001009501",468,154,25.55
"11001009503",120,87,9.45
"11001009504",209,120,16.29
"11001009505",366,181,32.85
"11001009507",94,54,16.12
"11001009508",388,156,24
"11001009509",188,125,14.58
"11001009601",295,119,37.63
"11001009602",887,189,56.32
"11001009603",611,211,39.24
"11001009604",303,108,30.51
"11001009700",475,182,41.16
"11001009801",398,92,49.69
"11001009802",338,86,55.05
"11001009803",562,145,45
"11001009804",444,87,43.15
"11001009807",529,172,42.32
"11001009810",502,157,43.28
"11001009811",1254,220,65.14
"11001009901",102,72,9.89
"11001009902",229,135,19.64
"11001009903",126,93,17.12
"11001009904",436,115,45.99
"11001009905",429,154,39.5
"11001009906",300,98,44.98
"11001009907",667,166,58.41
"11001010100",1024,177,55.11
"11001010200",460,142,33.8
"11001010300",357,129,29.92
"11001010400",625,202,39.31
"11001010500",1088,313,48.38
"11001010600",891,212,33.9
"11001010700",714,136,63.02
"11001010800",749,145,78.1
"11001010900",735,131,60.15
"11001011000",653,289,27.94
"11001011100",244,108,14.07
