"GEOID","NAME","variable","estimate","moe"
"11001003900","Census Tract 39, District of Columbia, District of Columbia","B19301_001",63716,5801
"11001004001","Census Tract 40.01, District of Columbia, District of Columbia","B19301_001",83083,8031
"11001004002","Census Tract 40.02, District of Columbia, District of Columbia","B19301_001",71065,7219
"11001004100","Census Tract 41, District of Columbia, District of Columbia","B19301_001",102304,15484
"11001004201","Census Tract 42.01, District of Columbia, District of Columbia","B19301_001",79766,11508
"11001004202","Census Tract 42.02, District of Columbia, District of Columbia","B19301_001",90910,14149
"11001004300","Census Tract 43, District of Columbia, District of Columbia","B19301_001",59883,6336
"11001004400","Census Tract 44, District of Columbia, District of Columbia","B19301_001",84904,10608
"11001004600","Census Tract 46, District of Columbia, District of Columbia","B19301_001",45979,7846
"11001004701","Census Tract 47.01, District of Columbia, District of Columbia","B19301_001",34229,7917
"11001004702","Census Tract 47.02, District of Columbia, District of Columbia","B19301_001",72154,9480
"11001004801","Census Tract 48.01, District of Columbia, District of Columbia","B19301_001",53431,4805
"11001004802","Census Tract 48.02, District of Columbia, District of Columbia","B19301_001",47257,6198
"11001004901","Census Tract 49.01, District of Columbia, District of Columbia","B19301_001",42893,6378
"11001004902","Census Tract 49.02, District of Columbia, District of Columbia","B19301_001",58332,7417
"11001005001","Census Tract 50.01, District of Columbia, District of Columbia","B19301_001",85672,16681
"11001005002","Census Tract 50.02, District of Columbia, District of Columbia","B19301_001",64399,8778
"11001005201","Census Tract 52.01, District of Columbia, District of Columbia","B19301_001",91032,10498
"11001005301","Census Tract 53.01, District of Columbia, District of Columbia","B19301_001",80263,8402
"11001005500","Census Tract 55, District of Columbia, District of Columbia","B19301_001",92668,18651
"11001005600","Census Tract 56, District of Columbia, District of Columbia","B19301_001",65433,13243
"11001005800","Census Tract 58, District of Columbia, District of Columbia","B19301_001",99832,13722
"11001005900","Census Tract 59, District of Columbia, District of Columbia","B19301_001",57361,5628
"11001006202","Census Tract 62.02, District of Columbia, District of Columbia","B19301_001",58019,45977
"11001006400","Census Tract 64, District of Columbia, District of Columbia","B19301_001",20124,4121
"11001006500","Census Tract 65, District of Columbia, District of Columbia","B19301_001",76326,8026
"11001006600","Census Tract 66, District of Columbia, District of Columbia","B19301_001",92827,14887
"11001006700","Census Tract 67, District of Columbia, District of Columbia","B19301_001",84221,8315
"11001006801","Census Tract 68.01, District of Columbia, District of Columbia","B19301_001",47228,6403
"11001006802","Census Tract 68.02, District of Columbia, District of Columbia","B19301_001",54623,5760
"11001006804","Census Tract 68.04, District of Columbia, District of Columbia","B19301_001",4691,1188
"11001006900","Census Tract 69, District of Columbia, District of Columbia","B19301_001",71766,6275
"11001007000","Census Tract 70, District of Columbia, District of Columbia","B19301_001",66547,10009
"11001007100","Census Tract 71, District of Columbia, District of Columbia","B19301_001",42733,7692
"11001007200","Census Tract 72, District of Columbia, District of Columbia","B19301_001",63970,7990
"11001007301","Census Tract 73.01, District of Columbia, District of Columbia","B19301_001",28639,3705
"11001007304","Census Tract 73.04, District of Columbia, District of Columbia","B19301_001",17347,2584
"11001007401","Census Tract 74.01, District of Columbia, District of Columbia","B19301_001",9501,1586
