"","GEOID","NAME","sum_var","sum_est","sum_moe"
"1","11001000100","Census Tract 1, District of Columbia, District of Columbia","B01003_001",5209,403
"2","11001000201","Census Tract 2.01, District of Columbia, District of Columbia","B01003_001",3685,384
"3","11001000202","Census Tract 2.02, District of Columbia, District of Columbia","B01003_001",4817,560
"4","11001000300","Census Tract 3, District of Columbia, District of Columbia","B01003_001",6095,625
"5","11001000400","Census Tract 4, District of Columbia, District of Columbia","B01003_001",1578,147
"6","11001000501","Census Tract 5.01, District of Columbia, District of Columbia","B01003_001",3502,338
"7","11001000502","Census Tract 5.02, District of Columbia, District of Columbia","B01003_001",2973,205
"8","11001000600","Census Tract 6, District of Columbia, District of Columbia","B01003_001",4722,335
"9","11001000701","Census Tract 7.01, District of Columbia, District of Columbia","B01003_001",5245,490
"10","11001000702","Census Tract 7.02, District of Columbia, District of Columbia","B01003_001",3316,391
"11","11001000801","Census Tract 8.01, District of Columbia, District of Columbia","B01003_001",6575,558
"12","11001000802","Census Tract 8.02, District of Columbia, District of Columbia","B01003_001",3153,305
"13","11001000901","Census Tract 9.01, District of Columbia, District of Columbia","B01003_001",7790,802
"14","11001000902","Census Tract 9.02, District of Columbia, District of Columbia","B01003_001",2455,192
"15","11001001001","Census Tract 10.01, District of Columbia, District of Columbia","B01003_001",7894,467
"16","11001001002","Census Tract 10.02, District of Columbia, District of Columbia","B01003_001",3497,456
"17","11001001100","Census Tract 11, District of Columbia, District of Columbia","B01003_001",4817,315
"18","11001001200","Census Tract 12, District of Columbia, District of Columbia","B01003_001",4908,467
"19","11001001301","Census Tract 13.01, District of Columbia, District of Columbia","B01003_001",4016,359
"20","11001001302","Census Tract 13.02, District of Columbia, District of Columbia","B01003_001",7591,617
"21","11001001401","Census Tract 14.01, District of Columbia, District of Columbia","B01003_001",3369,237
"22","11001001402","Census Tract 14.02, District of Columbia, District of Columbia","B01003_001",3328,285
"23","11001001500","Census Tract 15, District of Columbia, District of Columbia","B01003_001",6350,469
"24","11001001600","Census Tract 16, District of Columbia, District of Columbia","B01003_001",4175,277
"25","11001001702","Census Tract 17.02, District of Columbia, District of Columbia","B01003_001",3083,267
"26","11001001803","Census Tract 18.03, District of Columbia, District of Columbia","B01003_001",4042,348
"27","11001001804","Census Tract 18.04, District of Columbia, District of Columbia","B01003_001",5619,736
