"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","pct"
"11001000100","Census Tract 1, District of Columbia, District of Columbia","B25024_010",0,17,2965,86,0
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","B25024_010",0,12,3,4,0
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","B25024_010",0,12,1969,105,0
"11001000300","Census Tract 3, District of Columbia, District of Columbia","B25024_010",0,17,2685,108,0
"11001000400","Census Tract 4, District of Columbia, District of Columbia","B25024_010",0,12,719,17,0
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","B25024_010",0,12,2124,94,0
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","B25024_010",0,12,1783,38,0
"11001000600","Census Tract 6, District of Columbia, District of Columbia","B25024_010",0,12,2374,61,0
"11001000701","Census Tract 7.01, District of Columbia, District of Columbia","B25024_010",0,17,3720,110,0
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","B25024_010",0,12,2440,64,0
"11001000801","Census Tract 8.01, District of Columbia, District of Columbia","B25024_010",0,17,3025,93,0
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","B25024_010",0,12,1451,56,0
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia","B25024_010",0,17,1633,74,0
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","B25024_010",0,12,899,22,0
"11001001001","Census Tract 10.01, District of Columbia, District of Columbia","B25024_010",0,17,2849,82,0
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia","B25024_010",0,12,2176,92,0
"11001001100","Census Tract 11, District of Columbia, District of Columbia","B25024_010",0,12,2260,82,0
"11001001200","Census Tract 12, District of Columbia, District of Columbia","B25024_010",0,12,2618,87,0
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia","B25024_010",0,12,2074,87,0
"11001001302","Census Tract 13.02, District of Columbia, District of Columbia","B25024_010",0,17,5270,194,0
"11001001401","Census Tract 14.01, District of Columbia, District of Columbia","B25024_010",0,12,1512,37,0
"11001001402","Census Tract 14.02, District of Columbia, District of Columbia","B25024_010",0,12,1546,64,0
"11001001500","Census Tract 15, District of Columbia, District of Columbia","B25024_010",0,17,2170,45,0
"11001001600","Census Tract 16, District of Columbia, District of Columbia","B25024_010",0,12,1716,42,0
"11001001702","Census Tract 17.02, District of Columbia, District of Columbia","B25024_010",0,12,1367,41,0
"11001001803","Census Tract 18.03, District of Columbia, District of Columbia","B25024_010",0,12,1654,61,0
"11001001804","Census Tract 18.04, District of Columbia, District of Columbia","B25024_010",0,17,2241,92,0
"11001001901","Census Tract 19.01, District of Columbia, District of Columbia","B25024_010",0,12,1667,44,0
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia","B25024_010",0,12,866,43,0
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia","B25024_010",0,12,1072,43,0
"11001002002","Census Tract 20.02, District of Columbia, District of Columbia","B25024_010",0,12,1479,57,0
"11001002101","Census Tract 21.01, District of Columbia, District of Columbia","B25024_010",0,17,2338,82,0
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia","B25024_010",0,12,2287,56,0
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia","B25024_010",0,12,1207,57,0
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia","B25024_010",0,12,1473,52,0
"11001002301","Census Tract 23.01, District of Columbia, District of Columbia","B25024_010",0,12,1196,50,0
