"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001006600","Census Tract 66, District of Columbia, District of Columbia","B09001_001",259,90,"Census Tract 66, District of Columbia, District of Columbia","B01003_001",1904,208,13.6
"11001006700","Census Tract 67, District of Columbia, District of Columbia","B09001_001",558,83,"Census Tract 67, District of Columbia, District of Columbia","B01003_001",4213,234,13.24
"11001006801","Census Tract 68.01, District of Columbia, District of Columbia","B09001_001",219,110,"Census Tract 68.01, District of Columbia, District of Columbia","B01003_001",2017,195,10.86
"11001006802","Census Tract 68.02, District of Columbia, District of Columbia","B09001_001",446,104,"Census Tract 68.02, District of Columbia, District of Columbia","B01003_001",2342,224,19.04
"11001006804","Census Tract 68.04, District of Columbia, District of Columbia","B09001_001",25,25,"Census Tract 68.04, District of Columbia, District of Columbia","B01003_001",2949,251,0.85
"11001006900","Census Tract 69, District of Columbia, District of Columbia","B09001_001",263,72,"Census Tract 69, District of Columbia, District of Columbia","B01003_001",2181,192,12.06
"11001007000","Census Tract 70, District of Columbia, District of Columbia","B09001_001",317,125,"Census Tract 70, District of Columbia, District of Columbia","B01003_001",2794,430,11.35
"11001007100","Census Tract 71, District of Columbia, District of Columbia","B09001_001",691,274,"Census Tract 71, District of Columbia, District of Columbia","B01003_001",3064,403,22.55
"11001007200","Census Tract 72, District of Columbia, District of Columbia","B09001_001",332,100,"Census Tract 72, District of Columbia, District of Columbia","B01003_001",4584,514,7.24
"11001007301","Census Tract 73.01, District of Columbia, District of Columbia","B09001_001",1381,230,"Census Tract 73.01, District of Columbia, District of Columbia","B01003_001",4002,392,34.51
"11001007304","Census Tract 73.04, District of Columbia, District of Columbia","B09001_001",885,275,"Census Tract 73.04, District of Columbia, District of Columbia","B01003_001",3514,467,25.18
"11001007401","Census Tract 74.01, District of Columbia, District of Columbia","B09001_001",879,139,"Census Tract 74.01, District of Columbia, District of Columbia","B01003_001",2453,200,35.83
"11001007403","Census Tract 74.03, District of Columbia, District of Columbia","B09001_001",1271,255,"Census Tract 74.03, District of Columbia, District of Columbia","B01003_001",3500,371,36.31
"11001007404","Census Tract 74.04, District of Columbia, District of Columbia","B09001_001",1538,287,"Census Tract 74.04, District of Columbia, District of Columbia","B01003_001",3795,466,40.53
"11001007406","Census Tract 74.06, District of Columbia, District of Columbia","B09001_001",1127,346,"Census Tract 74.06, District of Columbia, District of Columbia","B01003_001",3061,468,36.82
"11001007407","Census Tract 74.07, District of Columbia, District of Columbia","B09001_001",776,201,"Census Tract 74.07, District of Columbia, District of Columbia","B01003_001",2734,308,28.38
"11001007408","Census Tract 74.08, District of Columbia, District of Columbia","B09001_001",1097,309,"Census Tract 74.08, District of Columbia, District of Columbia","B01003_001",3548,454,30.92
"11001007409","Census Tract 74.09, District of Columbia, District of Columbia","B09001_001",1160,300,"Census Tract 74.09, District of Columbia, District of Columbia","B01003_001",3802,410,30.51
"11001007502","Census Tract 75.02, District of Columbia, District of Columbia","B09001_001",1534,397,"Census Tract 75.02, District of Columbia, District of Columbia","B01003_001",5361,522,28.61
"11001007503","Census Tract 75.03, District of Columbia, District of Columbia","B09001_001",1034,175,"Census Tract 75.03, District of Columbia, District of Columbia","B01003_001",2694,301,38.38
"11001007504","Census Tract 75.04, District of Columbia, District of Columbia","B09001_001",898,242,"Census Tract 75.04, District of Columbia, District of Columbia","B01003_001",2780,341,32.3
"11001007601","Census Tract 76.01, District of Columbia, District of Columbia","B09001_001",813,280,"Census Tract 76.01, District of Columbia, District of Columbia","B01003_001",4182,548,19.44
"11001007603","Census Tract 76.03, District of Columbia, District of Columbia","B09001_001",567,186,"Census Tract 76.03, District of Columbia, District of Columbia","B01003_001",3950,501,14.35
"11001007604","Census Tract 76.04, District of Columbia, District of Columbia","B09001_001",664,187,"Census Tract 76.04, District of Columbia, District of Columbia","B01003_001",3766,348,17.63
"11001007605","Census Tract 76.05, District of Columbia, District of Columbia","B09001_001",606,208,"Census Tract 76.05, District of Columbia, District of Columbia","B01003_001",3609,411,16.79
"11001007703","Census Tract 77.03, District of Columbia, District of Columbia","B09001_001",1663,600,"Census Tract 77.03, District of Columbia, District of Columbia","B01003_001",5267,785,31.57
"11001007707","Census Tract 77.07, District of Columbia, District of Columbia","B09001_001",1244,351,"Census Tract 77.07, District of Columbia, District of Columbia","B01003_001",4423,531,28.13
