"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","pct"
"11001000100","Census Tract 1, District of Columbia, District of Columbia","B17001_002",188,165,5188,405,3.62
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","B17001_002",62,50,80,52,77.5
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","B17001_002",880,336,3903,484,22.55
"11001000300","Census Tract 3, District of Columbia, District of Columbia","B17001_002",941,485,6095,625,15.44
"11001000400","Census Tract 4, District of Columbia, District of Columbia","B17001_002",156,81,1578,147,9.89
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","B17001_002",221,140,3455,333,6.4
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","B17001_002",63,42,2973,205,2.12
"11001000600","Census Tract 6, District of Columbia, District of Columbia","B17001_002",400,172,4498,326,8.89
"11001000701","Census Tract 7.01, District of Columbia, District of Columbia","B17001_002",518,213,5245,490,9.88
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","B17001_002",413,242,3316,391,12.45
"11001000801","Census Tract 8.01, District of Columbia, District of Columbia","B17001_002",863,456,6149,516,14.03
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","B17001_002",442,188,3153,305,14.02
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia","B17001_002",506,220,4641,365,10.9
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","B17001_002",42,29,2455,192,1.71
"11001001001","Census Tract 10.01, District of Columbia, District of Columbia","B17001_002",354,156,7552,407,4.69
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia","B17001_002",990,320,3497,456,28.31
"11001001100","Census Tract 11, District of Columbia, District of Columbia","B17001_002",189,134,4733,303,3.99
"11001001200","Census Tract 12, District of Columbia, District of Columbia","B17001_002",253,144,4908,467,5.15
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia","B17001_002",249,150,3912,349,6.37
"11001001302","Census Tract 13.02, District of Columbia, District of Columbia","B17001_002",823,345,7591,617,10.84
"11001001401","Census Tract 14.01, District of Columbia, District of Columbia","B17001_002",250,150,3369,237,7.42
"11001001402","Census Tract 14.02, District of Columbia, District of Columbia","B17001_002",321,196,3315,283,9.68
"11001001500","Census Tract 15, District of Columbia, District of Columbia","B17001_002",106,90,6130,453,1.73
"11001001600","Census Tract 16, District of Columbia, District of Columbia","B17001_002",160,83,4148,276,3.86
"11001001702","Census Tract 17.02, District of Columbia, District of Columbia","B17001_002",273,145,3049,263,8.95
"11001001803","Census Tract 18.03, District of Columbia, District of Columbia","B17001_002",512,281,4042,348,12.67
"11001001804","Census Tract 18.04, District of Columbia, District of Columbia","B17001_002",913,369,5568,738,16.4
"11001001901","Census Tract 19.01, District of Columbia, District of Columbia","B17001_002",423,253,3997,402,10.58
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia","B17001_002",197,159,2331,240,8.45
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia","B17001_002",194,82,2848,332,6.81
"11001002002","Census Tract 20.02, District of Columbia, District of Columbia","B17001_002",516,251,3891,536,13.26
"11001002101","Census Tract 21.01, District of Columbia, District of Columbia","B17001_002",875,556,5859,671,14.93
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia","B17001_002",881,276,4887,453,18.03
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia","B17001_002",289,121,3658,315,7.9
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia","B17001_002",1049,465,3974,546,26.4
"11001002301","Census Tract 23.01, District of Columbia, District of Columbia","B17001_002",337,159,3213,381,10.49
"11001002302","Census Tract 23.02, District of Columbia, District of Columbia","B17001_002",340,188,1425,206,23.86
"11001002400","Census Tract 24, District of Columbia, District of Columbia","B17001_002",329,148,4222,388,7.79
"11001002501","Census Tract 25.01, District of Columbia, District of Columbia","B17001_002",607,310,2643,373,22.97
"11001002502","Census Tract 25.02, District of Columbia, District of Columbia","B17001_002",859,423,5852,709,14.68
"11001002600","Census Tract 26, District of Columbia, District of Columbia","B17001_002",131,66,2570,171,5.1
"11001002701","Census Tract 27.01, District of Columbia, District of Columbia","B17001_002",855,590,5250,559,16.29
"11001002702","Census Tract 27.02, District of Columbia, District of Columbia","B17001_002",494,244,6300,620,7.84
