"GEOID","estimate","moe","pct"
"11001000100",0,102,0
"11001000201",0,72,0
"11001000202",0,72,0
"11001000300",31,122,1.19
"11001000400",0,72,0
"11001000501",21,93,1.07
"11001000502",7,71,0.44
"11001000600",23,95,1.07
"11001000701",34,123,1.02
"11001000702",62,119,2.94
"11001000801",9,99,0.31
"11001000802",9,74,0.65
"11001000901",9,99,0.57
"11001000902",5,67,0.58
"11001001001",0,102,0
"11001001002",156,214,8.26
"11001001100",24,99,1.17
"11001001200",39,97,1.57
"11001001301",0,72,0
"11001001302",149,199,3.15
"11001001401",15,77,1
"11001001402",59,129,4.02
"11001001500",0,102,0
"11001001600",0,72,0
"11001001702",10,74,0.74
"11001001803",169,149,10.85
"11001001804",281,233,13.44
"11001001901",37,105,2.55
"11001001902",15,72,1.78
"11001002001",87,94,8.62
"11001002002",55,120,4
"11001002101",88,177,4.17
"11001002102",46,110,2.15
"11001002201",25,86,2.14
"11001002202",107,155,8.15
"11001002301",10,76,0.91
"11001002302",16,83,1.96
"11001002400",63,106,4.66
"11001002501",41,105,3.94
"11001002502",223,246,9.59
"11001002600",6,70,0.59
"11001002701",139,240,5.21
"11001002702",234,285,10.09
"11001002801",353,270,20.49
"11001002802",271,276,13.28
"11001002900",177,163,11.19
"11001003000",98,156,6.78
"11001003100",116,140,10
"11001003200",77,128,4.62
"11001003301",0,72,0
"11001003302",0,72,0
"11001003400",8,73,0.68
"11001003500",68,144,5.85
"11001003600",13,107,0.64
"11001003700",200,275,7.92
"11001003800",108,166,4.08
"11001003900",105,148,3.99
"11001004001",31,91,1.42
"11001004002",50,101,2.75
"11001004100",15,71,0.99
"11001004201",27,91,1.28
"11001004202",34,115,2.02
"11001004300",65,122,3.22
"11001004400",52,152,1.93
"11001004600",0,72,0
"11001004701",84,159,3.61
"11001004702",24,65,1.7
"11001004801",31,84,2.92
"11001004802",91,150,5.28
"11001004901",49,87,4.43
"11001004902",54,118,3.79
"11001005001",0,72,0
"11001005002",374,337,10.41
"11001005201",156,269,3.8
"11001005301",127,159,3.71
"11001005500",188,285,4.5
"11001005600",122,233,3.42
"11001005800",11,77,0.62
"11001005900",53,96,3.72
"11001006202",40,123,74.07
"11001006400",6,70,0.58
"11001006500",8,73,0.7
"11001006600",0,72,0
"11001006700",9,75,0.48
"11001006801",3,65,0.34
"11001006802",7,60,0.71
"11001006804",0,72,0
"11001006900",0,72,0
"11001007000",0,72,0
"11001007100",49,121,3.71
"11001007200",48,86,2.13
"11001007301",15,83,1.45
"11001007304",58,112,4.68
"11001007401",34,86,3.57
"11001007403",91,121,8.24
"11001007404",81,128,6.67
"11001007406",123,161,13.41
"11001007407",32,88,2.7
"11001007408",81,116,7.42
"11001007409",75,130,4.92
"11001007502",85,156,4.72
"11001007503",30,79,3.26
"11001007504",48,110,4.56
"11001007601",80,137,4.16
"11001007603",0,72,0
"11001007604",0,72,0
"11001007605",94,142,5.92
"11001007703",65,143,2.98
"11001007707",83,135,5.53
"11001007708",15,80,1.3
"11001007709",44,97,4.38
"11001007803",0,72,0
"11001007804",11,77,0.98
"11001007806",50,108,5.43
"11001007807",23,80,2.6
"11001007808",128,157,9.26
"11001007809",50,99,4.26
"11001007901",52,112,3.38
"11001007903",14,71,1.76
"11001008001",19,88,1.39
"11001008002",13,72,0.81
"11001008100",11,77,0.8
"11001008200",9,74,0.64
"11001008301",0,72,0
"11001008302",3,66,0.3
"11001008402",0,72,0
"11001008410",7,69,1.27
"11001008701",0,72,0
"11001008702",38,97,5.09
"11001008802",80,121,4.49
"11001008803",20,72,3.9
"11001008804",37,91,3.45
"11001008903",86,128,5.92
"11001008904",47,102,3.06
"11001009000",22,82,1.27
"11001009102",48,129,2.43
"11001009201",15,70,1.95
"11001009203",11,77,1.08
"11001009204",0,72,0
"11001009301",0,72,0
"11001009302",29,77,6.13
"11001009400",21,81,1.26
"11001009501",348,233,19
"11001009503",0,72,0
"11001009504",0,72,0
"11001009505",58,101,5.21
"11001009507",26,87,4.46
"11001009508",33,89,2.04
"11001009509",15,83,1.16
"11001009601",20,84,2.55
"11001009602",41,103,2.6
"11001009603",14,82,0.9
"11001009604",35,78,3.52
"11001009700",0,72,0
"11001009801",99,102,12.36
"11001009802",23,83,3.75
"11001009803",41,103,3.28
"11001009804",44,87,4.28
"11001009807",0,72,0
"11001009810",0,72,0
"11001009811",89,169,4.62
"11001009901",24,87,2.33
"11001009902",0,72,0
"11001009903",7,70,0.95
"11001009904",33,78,3.48
"11001009905",7,72,0.64
"11001009906",40,94,6
"11001009907",36,95,3.15
"11001010100",94,116,5.06
"11001010200",69,121,5.07
"11001010300",151,200,12.66
"11001010400",53,116,3.33
"11001010500",37,105,1.65
"11001010600",17,94,0.65
"11001010700",57,110,5.03
"11001010800",49,131,5.11
"11001010900",100,128,8.18
"11001011000",25,85,1.07
"11001011100",11,104,0.63
