"GEOID","estimate","moe","pct"
"11001000100",0,68,0
"11001000201",0,48,0
"11001000202",55,88,3.18
"11001000300",42,88,1.61
"11001000400",44,63,6.77
"11001000501",45,94,2.29
"11001000502",61,75,3.85
"11001000600",45,83,2.09
"11001000701",118,147,3.53
"11001000702",104,141,4.92
"11001000801",39,88,1.36
"11001000802",61,99,4.4
"11001000901",22,68,1.38
"11001000902",0,48,0
"11001001001",20,84,0.71
"11001001002",71,103,3.76
"11001001100",7,48,0.34
"11001001200",27,66,1.09
"11001001301",58,106,2.95
"11001001302",361,389,7.63
"11001001401",65,97,4.32
"11001001402",31,62,2.11
"11001001500",22,78,1.08
"11001001600",0,48,0
"11001001702",51,91,3.8
"11001001803",272,158,17.47
"11001001804",282,229,13.49
"11001001901",70,98,4.83
"11001001902",21,62,2.5
"11001002001",111,98,11
"11001002002",97,103,7.05
"11001002101",173,202,8.2
"11001002102",67,93,3.13
"11001002201",0,48,0
"11001002202",164,136,12.49
"11001002301",43,56,3.93
"11001002302",7,48,0.86
"11001002400",35,71,2.59
"11001002501",161,169,15.48
"11001002502",317,171,13.63
"11001002600",22,57,2.18
"11001002701",143,154,5.36
"11001002702",129,173,5.56
"11001002801",412,265,23.91
"11001002802",424,226,20.77
"11001002900",124,106,7.84
"11001003000",52,81,3.6
"11001003100",162,141,13.97
"11001003200",128,141,7.69
"11001003301",0,48,0
"11001003302",0,48,0
"11001003400",30,76,2.55
"11001003500",46,82,3.96
"11001003600",36,93,1.77
"11001003700",55,94,2.18
"11001003800",188,191,7.1
"11001003900",49,87,1.86
"11001004001",60,86,2.74
"11001004002",73,90,4.02
"11001004100",36,68,2.37
"11001004201",42,80,1.98
"11001004202",25,62,1.48
"11001004300",56,77,2.77
"11001004400",21,70,0.78
"11001004600",7,48,0.58
"11001004701",80,102,3.44
"11001004702",43,62,3.05
"11001004801",0,48,0
"11001004802",91,119,5.28
"11001004901",45,66,4.07
"11001004902",31,67,2.18
"11001005001",0,48,0
"11001005002",256,235,7.13
"11001005201",163,228,3.97
"11001005301",99,141,2.9
"11001005500",237,246,5.68
"11001005600",120,157,3.36
"11001005800",181,109,10.23
"11001005900",28,52,1.97
"11001006202",0,48,0
"11001006400",13,51,1.25
"11001006500",51,97,4.46
"11001006600",23,61,2.54
"11001006700",18,54,0.97
"11001006801",20,44,2.25
"11001006802",0,48,0
"11001006804",0,48,0
"11001006900",0,48,0
"11001007000",0,48,0
"11001007100",16,62,1.21
"11001007200",26,53,1.15
"11001007301",4,44,0.39
"11001007304",7,48,0.56
"11001007401",6,44,0.63
"11001007403",0,48,0
"11001007404",22,60,1.81
"11001007406",0,48,0
"11001007407",18,56,1.52
"11001007408",4,43,0.37
"11001007409",0,48,0
"11001007502",7,62,0.39
"11001007503",0,48,0
"11001007504",9,49,0.86
"11001007601",53,99,2.75
"11001007603",168,212,7.78
"11001007604",0,48,0
"11001007605",0,48,0
"11001007703",9,66,0.41
"11001007707",0,48,0
"11001007708",0,48,0
"11001007709",3,41,0.3
"11001007803",90,128,6
"11001007804",27,69,2.41
"11001007806",0,48,0
"11001007807",0,48,0
"11001007808",38,96,2.75
"11001007809",0,48,0
"11001007901",0,48,0
"11001007903",4,42,0.5
"11001008001",21,59,1.54
"11001008002",9,51,0.56
"11001008100",0,48,0
"11001008200",0,48,0
"11001008301",0,48,0
"11001008302",20,45,2.02
"11001008402",0,48,0
"11001008410",6,45,1.09
"11001008701",0,48,0
"11001008702",15,49,2.01
"11001008802",33,64,1.85
"11001008803",31,54,6.04
"11001008804",0,48,0
"11001008903",85,148,5.85
"11001008904",69,110,4.5
"11001009000",0,48,0
"11001009102",51,96,2.58
"11001009201",12,44,1.56
"11001009203",21,60,2.06
"11001009204",108,114,8.21
"11001009301",13,56,1.1
"11001009302",28,61,5.92
"11001009400",0,48,0
"11001009501",252,172,13.76
"11001009503",9,50,0.71
"11001009504",19,57,1.48
"11001009505",14,61,1.26
"11001009507",37,63,6.35
"11001009508",20,54,1.24
"11001009509",40,110,3.1
"11001009601",0,48,0
"11001009602",46,85,2.92
"11001009603",17,63,1.09
"11001009604",4,43,0.4
"11001009700",0,48,0
"11001009801",19,53,2.37
"11001009802",7,46,1.14
"11001009803",8,49,0.64
"11001009804",32,69,3.11
"11001009807",7,49,0.56
"11001009810",0,48,0
"11001009811",0,68,0
"11001009901",0,48,0
"11001009902",0,48,0
"11001009903",0,48,0
"11001009904",6,46,0.63
"11001009905",0,48,0
"11001009906",7,48,1.05
"11001009907",0,48,0
"11001010100",42,70,2.26
"11001010200",32,63,2.35
"11001010300",98,133,8.21
"11001010400",0,48,0
"11001010500",24,74,1.07
"11001010600",24,55,0.91
"11001010700",26,52,2.29
"11001010800",7,62,0.73
"11001010900",27,80,2.21
"11001011000",11,53,0.47
"11001011100",0,68,0
